^^^^^^^^^^Mar 26 2017^^^10:50:40^^^^^^^^^^[1294,1294][2017-03-26 +0800 11:37:48]
del time out files time: 0
get mmap time: 2
MARS_URL: 
MARS_PATH: 
MARS_REVISION: 
MARS_BUILD_TIME: 2017-03-26 10:49:56
MARS_BUILD_JOB: mars_xlog_sdk/mars_libs
log appender mode:0, use mmap:1
[W][2017-03-26 +8.0 11:39:30.705][1294, 1*][yiqinTag w][, , 0][---tut你好美女hhh
[I][2017-03-26 +8.0 11:39:30.705][1294, 1*][yiqinTag i][, , 0][---tut你好美女hhh
[D][2017-03-26 +8.0 11:39:30.705][1294, 1*][yiqinTag d][, , 0][---tut你好美女hhh
[F][2017-03-26 +8.0 11:39:30.872][1294, 1*][yiqinTag f][, , 0][---tut你好美女hhh
[E][2017-03-26 +8.0 11:39:30.872][1294, 1*][yiqinTag e][, , 0][---tut你好美女hhh
[W][2017-03-26 +8.0 11:39:30.872][1294, 1*][yiqinTag w][, , 0][---tut你好美女hhh
[I][2017-03-26 +8.0 11:39:30.873][1294, 1*][yiqinTag i][, , 0][---tut你好美女hhh
[D][2017-03-26 +8.0 11:39:30.873][1294, 1*][yiqinTag d][, , 0][---tut你好美女hhh
[F][2017-03-26 +8.0 11:39:31.046][1294, 1*][yiqinTag f][, , 0][---tut你好美女hhh
[E][2017-03-26 +8.0 11:39:31.047][1294, 1*][yiqinTag e][, , 0][---tut你好美女hhh
[W][2017-03-26 +8.0 11:39:31.047][1294, 1*][yiqinTag w][, , 0][---tut你好美女hhh
[I][2017-03-26 +8.0 11:39:31.047][1294, 1*][yiqinTag i][, , 0][---tut你好美女hhh
[D][2017-03-26 +8.0 11:39:31.047][1294, 1*][yiqinTag d][, , 0][---tut你好美女hhh
[F][2017-03-26 +8.0 11:39:31.230][1294, 1*][yiqinTag f][, , 0][---tut你好美女hhh
[E][2017-03-26 +8.0 11:39:31.231][1294, 1*][yiqinTag e][, , 0][---tut你好美女hhh
[W][2017-03-26 +8.0 11:39:31.231][1294, 1*][yiqinTag w][, , 0][---tut你好美女hhh
[I][2017-03-26 +8.0 11:39:31.231][1294, 1*][yiqinTag i][, , 0][---tut你好美女hhh
[D][2017-03-26 +8.0 11:39:31.231][1294, 1*][yiqinTag d][, , 0][---tut你好美女hhh
[F][2017-03-26 +8.0 11:39:31.414][1294, 1*][yiqinTag f][, , 0][---tut你好美女hhh
[E][2017-03-26 +8.0 11:39:31.415][1294, 1*][yiqinTag e][, , 0][---tut你好美女hhh
[W][2017-03-26 +8.0 11:39:31.415][1294, 1*][yiqinTag w][, , 0][---tut你好美女hhh
[I][2017-03-26 +8.0 11:39:31.415][1294, 1*][yiqinTag i][, , 0][---tut你好美女hhh
[D][2017-03-26 +8.0 11:39:31.415][1294, 1*][yiqinTag d][, , 0][---tut你好美女hhh
[F][2017-03-26 +8.0 11:39:31.598][1294, 1*][yiqinTag f][, , 0][---tut你好美女hhh
[E][2017-03-26 +8.0 11:39:31.598][1294, 1*][yiqinTag e][, , 0][---tut你好美女hhh
